name,slug,value,date_of_information,ranking,region
"British Virgin Islands","british-virgin-islands","$23,000,000","2017 est.","216","Central America and the Caribbean"
"Saint Helena, Ascension, and Tristan da Cunha","saint-helena-ascension-and-tristan-da-cunha","$19,000,000","2004 est.","217","Africa"
"Tuvalu","tuvalu","$10,000,000","2019 est.","218","Australia and Oceania"
"Anguilla","anguilla","$7,900,000","2017 est.","219","Central America and the Caribbean"
"Saint Pierre and Miquelon","saint-pierre-and-miquelon","$6,641,000","2010 est.","220","North America"
"Montserrat","montserrat","$4,400,000","2017 est.","221","Central America and the Caribbean"
"Cook Islands","cook-islands","$3,125,000","2011 est.","222","Australia and Oceania"
"Niue","niue","$201,400","2004 est.","223","Australia and Oceania"
"Tokelau","tokelau","$103,000","2015 est.","224","Australia and Oceania"
"Wallis and Futuna","wallis-and-futuna","$47,450","2004 est.","225","Australia and Oceania"
